id,move_id,pokemon_id
1,1,1
2,2,1
3,3,1
4,4,1
5,0,2
6,5,2
7,6,2
8,7,2
9,8,2
10,9,2
11,10,2
12,11,3
14,13,3
15,25,3
16,74,3
17,79,4
18,39,4
19,73,4
20,44,4
21,79,5
22,39,5
23,73,5
24,84,5
25,43,6
26,44,6
27,84,6
28,73,6
29,95,7
30,22,7
31,18,7
32,81,7
33,81,8
34,52,8
35,18,8
36,22,8
37,52,9
38,81,9
39,18,9
40,106,9
41,95,10
42,95,11
43,95,12
44,70,12
45,68,13
46,68,14
47,66,15
48,73,15
49,46,15
50,68,15
51,48,16
52,72,16
53,108,16
54,48,17
55,108,17
56,48,18
57,72,18
58,108,18
59,95,19
60,72,19
61,54,19
62,54,20
63,72,20
64,95,20
65,65,21
66,46,21
67,36,21
68,65,22
69,46,22
70,36,22
71,109,23
72,68,23
73,18,23
74,13,23
75,109,24
76,68,24
77,18,24
78,13,24
79,100,25
80,72,25
81,98,25
82,98,26
83,100,26
84,79,27
85,84,27
86,47,27
87,84,28
88,68,28
89,46,28
90,95,29
91,68,29
92,18,29
93,47,29
94,95,30
95,79,30
96,18,30
97,47,30
98,95,31
99,79,31
100,68,31
101,19,31
102,95,32
103,51,32
104,68,32
105,46,32
107,95,33
108,51,33
109,68,33
110,46,33
111,95,34
112,51,34
113,68,34
114,97,34
115,69,35
116,33,35
117,69,36
118,33,36
119,39,37
120,72,37
121,44,37
122,43,37
123,39,38
124,72,38
125,44,38
126,43,38
127,33,39
128,34,39
129,34,40
130,33,40
131,59,41
132,18,41
133,108,41
134,59,42
135,18,42
136,108,42
137,12,43
138,13,43
139,87,43
140,12,44
141,13,44
142,87,44
143,87,45
144,13,45
145,12,45
146,79,46
147,59,46
148,84,46
149,59,47
150,84,47
151,79,47
152,95,48
153,59,48
154,70,48
155,10,48
156,59,49
157,70,49
158,95,49
159,71,49
160,79,50
161,30,50
162,84,50
163,37,50
164,37,51
165,84,51
166,30,51
167,79,51
168,79,52
169,18,52
170,47,52
171,84,52
172,84,53
173,47,53
174,18,53
175,79,53
176,52,54
177,79,54
178,47,54
179,79,55
180,47,55
181,52,55
182,79,56
183,58,56
184,47,56
185,97,56
186,79,57
187,47,57
188,97,57
189,58,57
190,18,58
191,39,58
192,96,58
193,44,58
194,18,59
195,39,59
196,96,59
197,44,59
198,22,60
199,106,60
200,33,60
201,52,60
202,22,61
203,106,61
204,33,61
205,52,61
206,22,62
207,106,62
208,32,62
209,19,62
210,33,63
211,33,64
212,70,64
213,70,65
214,71,65
215,58,66
216,92,66
217,58,67
218,92,67
219,58,68
220,92,68
221,105,69
222,109,69
223,13,69
224,74,69
225,2,70
226,13,70
227,74,70
228,83,70
229,13,71
230,109,71
231,2,71
232,83,71
233,13,72
234,52,72
235,68,72
237,106,73
238,68,73
239,13,73
240,52,73
241,95,74
242,77,74
243,37,74
244,40,74
245,95,75
246,80,75
247,37,75
248,40,75
249,95,76
250,37,76
251,40,76
252,77,76
253,39,77
254,89,77
255,41,77
256,96,77
257,39,78
258,43,78
259,96,78
260,89,78
261,26,79
262,49,79
263,106,79
264,71,79
265,26,80
266,49,80
267,106,80
268,71,80
269,95,81
270,100,81
271,94,81
272,95,82
273,94,82
274,100,82
275,65,83
276,46,83
277,84,83
278,65,84
279,46,84
280,36,84
281,73,84
282,102,84
283,65,85
284,46,85
285,36,85
286,102,85
287,49,86
288,14,86
289,96,86
290,55,86
291,49,87
292,14,87
293,96,87
294,55,87
295,69,88
296,85,88
297,69,89
298,85,89
299,95,90
300,24,90
301,14,90
302,55,90
303,95,91
304,88,91
305,60,92
306,35,92
307,60,93
308,35,93
309,60,94
310,35,94
311,95,95
312,16,95
313,77,95
314,73,95
315,83,95
316,69,96
317,49,96
318,71,96
319,69,97
320,49,97
321,71,97
322,22,98
323,104,98
324,89,98
325,28,98
326,22,99
327,28,99
328,89,99
329,95,100
330,80,100
331,94,100
332,40,100
333,95,101
334,80,101
335,94,101
336,40,101
337,15,102
338,3,102
339,11,102
340,15,103
341,89,103
342,20,104
343,97,104
344,21,104
345,73,104
346,20,105
347,97,105
348,21,105
349,73,105
350,32,106
351,78,106
352,57,106
353,50,106
354,62,106
355,25,107
356,42,107
357,56,107
358,99,107
359,63,107
360,109,108
361,89,108
362,83,108
363,95,109
364,86,109
365,85,109
366,80,109
367,40,109
368,95,110
369,86,110
370,85,110
371,80,110
372,40,110
373,51,111
374,89,111
375,46,111
376,96,111
377,51,112
378,89,112
379,46,112
380,96,112
381,69,113
382,33,113
383,34,113
384,27,114
385,16,114
386,12,114
387,83,114
388,25,115
389,73,115
390,18,115
391,63,115
392,31,115
393,22,116
394,106,116
395,52,116
396,22,117
397,106,117
398,52,117
399,65,118
400,51,118
401,46,118
402,107,118
403,65,119
404,51,119
405,46,119
406,107,119
407,95,120
408,106,120
409,94,120
410,52,120
411,52,121
412,26,122
413,33,122
414,72,123
415,84,123
416,69,124
417,60,124
418,33,124
419,56,124
420,19,124
421,97,124
422,17,124
423,72,125
424,100,125
425,99,125
426,98,125
427,39,126
428,42,126
429,86,126
430,44,126
431,104,127
432,84,127
433,95,128
434,89,128
435,73,128
436,96,128
437,95,129
438,95,130
439,18,130
440,52,130
441,53,130
442,106,131
443,19,131
444,55,131
445,52,131
446,33,132
447,95,133
448,72,133
449,18,133
450,96,133
451,95,134
452,72,134
453,106,134
454,18,134
455,52,134
456,95,135
457,72,135
458,100,135
459,98,135
460,66,135
461,32,135
462,95,136
463,72,136
464,39,136
465,18,136
466,43,136
467,73,136
468,44,136
469,95,137
470,70,137
471,102,137
472,106,138
473,51,138
474,88,138
475,52,138
476,106,139
477,51,139
478,88,139
479,52,139
480,79,140
481,12,140
482,84,140
483,52,140
484,79,141
485,12,141
486,84,141
487,52,141
488,108,142
489,18,142
490,96,142
491,53,142
492,49,143
493,19,143
494,34,143
495,53,143
496,65,144
497,55,144
498,17,144
499,100,145
500,36,145
501,98,145
502,65,146
503,43,146
504,82,146
505,109,147
506,83,147
507,53,147
508,109,148
509,83,148
510,53,148
511,109,149
512,83,149
513,53,149
514,94,150
515,71,150
516,69,151
517,63,151
518,71,151
519,95,1
520,105,1
521,74,1
522,87,1
523,95,2
524,105,2
525,74,2
526,87,2
527,28,3
